,start_timestamp,end_timestamp,marketprice,unit
0,2017-12-31 23:00:00,2018-01-01 00:00:00,-5.27,Eur/MWh
1,2018-01-01 00:00:00,2018-01-01 01:00:00,-29.99,Eur/MWh
2,2018-01-01 01:00:00,2018-01-01 02:00:00,-56.65,Eur/MWh
3,2018-01-01 02:00:00,2018-01-01 03:00:00,-63.14,Eur/MWh
4,2018-01-01 03:00:00,2018-01-01 04:00:00,-64.62,Eur/MWh
5,2018-01-01 04:00:00,2018-01-01 05:00:00,-67.0,Eur/MWh
6,2018-01-01 05:00:00,2018-01-01 06:00:00,-72.54,Eur/MWh
7,2018-01-01 06:00:00,2018-01-01 07:00:00,-76.01,Eur/MWh
8,2018-01-01 07:00:00,2018-01-01 08:00:00,-71.45,Eur/MWh
9,2018-01-01 08:00:00,2018-01-01 09:00:00,-66.88,Eur/MWh
10,2018-01-01 09:00:00,2018-01-01 10:00:00,-62.0,Eur/MWh
11,2018-01-01 10:00:00,2018-01-01 11:00:00,-56.08,Eur/MWh
12,2018-01-01 11:00:00,2018-01-01 12:00:00,-49.96,Eur/MWh
13,2018-01-01 12:00:00,2018-01-01 13:00:00,-24.29,Eur/MWh
14,2018-01-01 13:00:00,2018-01-01 14:00:00,-5.59,Eur/MWh
15,2018-01-01 14:00:00,2018-01-01 15:00:00,0.23,Eur/MWh
16,2018-01-01 15:00:00,2018-01-01 16:00:00,11.02,Eur/MWh
17,2018-01-01 16:00:00,2018-01-01 17:00:00,23.5,Eur/MWh
18,2018-01-01 17:00:00,2018-01-01 18:00:00,22.91,Eur/MWh
19,2018-01-01 18:00:00,2018-01-01 19:00:00,21.02,Eur/MWh
20,2018-01-01 19:00:00,2018-01-01 20:00:00,21.05,Eur/MWh
21,2018-01-01 20:00:00,2018-01-01 21:00:00,21.95,Eur/MWh
22,2018-01-01 21:00:00,2018-01-01 22:00:00,23.52,Eur/MWh
23,2018-01-01 22:00:00,2018-01-01 23:00:00,18.96,Eur/MWh
24,2018-01-01 23:00:00,2018-01-02 00:00:00,18.12,Eur/MWh
25,2018-01-02 00:00:00,2018-01-02 01:00:00,14.99,Eur/MWh
26,2018-01-02 01:00:00,2018-01-02 02:00:00,13.63,Eur/MWh
27,2018-01-02 02:00:00,2018-01-02 03:00:00,12.15,Eur/MWh
28,2018-01-02 03:00:00,2018-01-02 04:00:00,11.83,Eur/MWh
29,2018-01-02 04:00:00,2018-01-02 05:00:00,14.55,Eur/MWh
30,2018-01-02 05:00:00,2018-01-02 06:00:00,22.58,Eur/MWh
31,2018-01-02 06:00:00,2018-01-02 07:00:00,41.92,Eur/MWh
32,2018-01-02 07:00:00,2018-01-02 08:00:00,47.95,Eur/MWh
33,2018-01-02 08:00:00,2018-01-02 09:00:00,49.9,Eur/MWh
34,2018-01-02 09:00:00,2018-01-02 10:00:00,50.0,Eur/MWh
35,2018-01-02 10:00:00,2018-01-02 11:00:00,49.7,Eur/MWh
36,2018-01-02 11:00:00,2018-01-02 12:00:00,48.16,Eur/MWh
37,2018-01-02 12:00:00,2018-01-02 13:00:00,47.24,Eur/MWh
38,2018-01-02 13:00:00,2018-01-02 14:00:00,46.1,Eur/MWh
39,2018-01-02 14:00:00,2018-01-02 15:00:00,43.86,Eur/MWh
40,2018-01-02 15:00:00,2018-01-02 16:00:00,43.64,Eur/MWh
41,2018-01-02 16:00:00,2018-01-02 17:00:00,47.37,Eur/MWh
42,2018-01-02 17:00:00,2018-01-02 18:00:00,46.08,Eur/MWh
43,2018-01-02 18:00:00,2018-01-02 19:00:00,41.08,Eur/MWh
44,2018-01-02 19:00:00,2018-01-02 20:00:00,34.94,Eur/MWh
45,2018-01-02 20:00:00,2018-01-02 21:00:00,25.46,Eur/MWh
46,2018-01-02 21:00:00,2018-01-02 22:00:00,21.3,Eur/MWh
47,2018-01-02 22:00:00,2018-01-02 23:00:00,9.94,Eur/MWh
48,2018-01-02 23:00:00,2018-01-03 00:00:00,7.93,Eur/MWh
49,2018-01-03 00:00:00,2018-01-03 01:00:00,0.03,Eur/MWh
50,2018-01-03 01:00:00,2018-01-03 02:00:00,0.02,Eur/MWh
51,2018-01-03 02:00:00,2018-01-03 03:00:00,-5.99,Eur/MWh
52,2018-01-03 03:00:00,2018-01-03 04:00:00,-9.21,Eur/MWh
53,2018-01-03 04:00:00,2018-01-03 05:00:00,-4.64,Eur/MWh
54,2018-01-03 05:00:00,2018-01-03 06:00:00,8.02,Eur/MWh
55,2018-01-03 06:00:00,2018-01-03 07:00:00,11.03,Eur/MWh
56,2018-01-03 07:00:00,2018-01-03 08:00:00,13.28,Eur/MWh
57,2018-01-03 08:00:00,2018-01-03 09:00:00,13.18,Eur/MWh
58,2018-01-03 09:00:00,2018-01-03 10:00:00,13.71,Eur/MWh
59,2018-01-03 10:00:00,2018-01-03 11:00:00,15.42,Eur/MWh
60,2018-01-03 11:00:00,2018-01-03 12:00:00,15.84,Eur/MWh
61,2018-01-03 12:00:00,2018-01-03 13:00:00,16.0,Eur/MWh
62,2018-01-03 13:00:00,2018-01-03 14:00:00,15.75,Eur/MWh
63,2018-01-03 14:00:00,2018-01-03 15:00:00,15.14,Eur/MWh
64,2018-01-03 15:00:00,2018-01-03 16:00:00,16.0,Eur/MWh
65,2018-01-03 16:00:00,2018-01-03 17:00:00,15.11,Eur/MWh
66,2018-01-03 17:00:00,2018-01-03 18:00:00,13.37,Eur/MWh
67,2018-01-03 18:00:00,2018-01-03 19:00:00,11.06,Eur/MWh
68,2018-01-03 19:00:00,2018-01-03 20:00:00,10.06,Eur/MWh
69,2018-01-03 20:00:00,2018-01-03 21:00:00,9.3,Eur/MWh
70,2018-01-03 21:00:00,2018-01-03 22:00:00,9.87,Eur/MWh
71,2018-01-03 22:00:00,2018-01-03 23:00:00,4.97,Eur/MWh
72,2018-01-03 23:00:00,2018-01-04 00:00:00,-0.36,Eur/MWh
73,2018-01-04 00:00:00,2018-01-04 01:00:00,-5.57,Eur/MWh
74,2018-01-04 01:00:00,2018-01-04 02:00:00,-7.85,Eur/MWh
75,2018-01-04 02:00:00,2018-01-04 03:00:00,-5.29,Eur/MWh
76,2018-01-04 03:00:00,2018-01-04 04:00:00,-1.75,Eur/MWh
77,2018-01-04 04:00:00,2018-01-04 05:00:00,6.01,Eur/MWh
78,2018-01-04 05:00:00,2018-01-04 06:00:00,19.96,Eur/MWh
79,2018-01-04 06:00:00,2018-01-04 07:00:00,33.59,Eur/MWh
80,2018-01-04 07:00:00,2018-01-04 08:00:00,40.45,Eur/MWh
81,2018-01-04 08:00:00,2018-01-04 09:00:00,41.97,Eur/MWh
82,2018-01-04 09:00:00,2018-01-04 10:00:00,44.91,Eur/MWh
83,2018-01-04 10:00:00,2018-01-04 11:00:00,48.22,Eur/MWh
84,2018-01-04 11:00:00,2018-01-04 12:00:00,46.04,Eur/MWh
85,2018-01-04 12:00:00,2018-01-04 13:00:00,42.0,Eur/MWh
86,2018-01-04 13:00:00,2018-01-04 14:00:00,41.08,Eur/MWh
87,2018-01-04 14:00:00,2018-01-04 15:00:00,42.04,Eur/MWh
88,2018-01-04 15:00:00,2018-01-04 16:00:00,42.53,Eur/MWh
89,2018-01-04 16:00:00,2018-01-04 17:00:00,51.43,Eur/MWh
90,2018-01-04 17:00:00,2018-01-04 18:00:00,49.96,Eur/MWh
91,2018-01-04 18:00:00,2018-01-04 19:00:00,46.73,Eur/MWh
92,2018-01-04 19:00:00,2018-01-04 20:00:00,41.57,Eur/MWh
93,2018-01-04 20:00:00,2018-01-04 21:00:00,37.09,Eur/MWh
94,2018-01-04 21:00:00,2018-01-04 22:00:00,33.92,Eur/MWh
95,2018-01-04 22:00:00,2018-01-04 23:00:00,28.05,Eur/MWh
96,2018-01-04 23:00:00,2018-01-05 00:00:00,5.96,Eur/MWh
97,2018-01-05 00:00:00,2018-01-05 01:00:00,-0.94,Eur/MWh
98,2018-01-05 01:00:00,2018-01-05 02:00:00,-0.03,Eur/MWh
99,2018-01-05 02:00:00,2018-01-05 03:00:00,0.55,Eur/MWh
100,2018-01-05 03:00:00,2018-01-05 04:00:00,-11.81,Eur/MWh
101,2018-01-05 04:00:00,2018-01-05 05:00:00,8.92,Eur/MWh
102,2018-01-05 05:00:00,2018-01-05 06:00:00,21.68,Eur/MWh
103,2018-01-05 06:00:00,2018-01-05 07:00:00,30.44,Eur/MWh
104,2018-01-05 07:00:00,2018-01-05 08:00:00,36.2,Eur/MWh
105,2018-01-05 08:00:00,2018-01-05 09:00:00,36.3,Eur/MWh
106,2018-01-05 09:00:00,2018-01-05 10:00:00,38.95,Eur/MWh
107,2018-01-05 10:00:00,2018-01-05 11:00:00,39.4,Eur/MWh
108,2018-01-05 11:00:00,2018-01-05 12:00:00,41.69,Eur/MWh
109,2018-01-05 12:00:00,2018-01-05 13:00:00,43.69,Eur/MWh
110,2018-01-05 13:00:00,2018-01-05 14:00:00,44.08,Eur/MWh
111,2018-01-05 14:00:00,2018-01-05 15:00:00,47.1,Eur/MWh
112,2018-01-05 15:00:00,2018-01-05 16:00:00,47.77,Eur/MWh
113,2018-01-05 16:00:00,2018-01-05 17:00:00,56.35,Eur/MWh
114,2018-01-05 17:00:00,2018-01-05 18:00:00,57.42,Eur/MWh
115,2018-01-05 18:00:00,2018-01-05 19:00:00,53.99,Eur/MWh
116,2018-01-05 19:00:00,2018-01-05 20:00:00,42.36,Eur/MWh
117,2018-01-05 20:00:00,2018-01-05 21:00:00,39.9,Eur/MWh
118,2018-01-05 21:00:00,2018-01-05 22:00:00,39.97,Eur/MWh
119,2018-01-05 22:00:00,2018-01-05 23:00:00,36.27,Eur/MWh
120,2018-01-05 23:00:00,2018-01-06 00:00:00,29.45,Eur/MWh
121,2018-01-06 00:00:00,2018-01-06 01:00:00,28.55,Eur/MWh
