,start_timestamp,end_timestamp,marketprice,unit
0,2021-12-31 23:00:00,2022-01-01 00:00:00,50.05,Eur/MWh
1,2022-01-01 00:00:00,2022-01-01 01:00:00,41.33,Eur/MWh
2,2022-01-01 01:00:00,2022-01-01 02:00:00,43.22,Eur/MWh
3,2022-01-01 02:00:00,2022-01-01 03:00:00,45.46,Eur/MWh
4,2022-01-01 03:00:00,2022-01-01 04:00:00,37.67,Eur/MWh
5,2022-01-01 04:00:00,2022-01-01 05:00:00,39.7,Eur/MWh
6,2022-01-01 05:00:00,2022-01-01 06:00:00,40.59,Eur/MWh
7,2022-01-01 06:00:00,2022-01-01 07:00:00,43.26,Eur/MWh
8,2022-01-01 07:00:00,2022-01-01 08:00:00,49.66,Eur/MWh
9,2022-01-01 08:00:00,2022-01-01 09:00:00,70.05,Eur/MWh
10,2022-01-01 09:00:00,2022-01-01 10:00:00,76.79,Eur/MWh
11,2022-01-01 10:00:00,2022-01-01 11:00:00,84.1,Eur/MWh
12,2022-01-01 11:00:00,2022-01-01 12:00:00,94.74,Eur/MWh
13,2022-01-01 12:00:00,2022-01-01 13:00:00,96.8,Eur/MWh
14,2022-01-01 13:00:00,2022-01-01 14:00:00,97.17,Eur/MWh
15,2022-01-01 14:00:00,2022-01-01 15:00:00,101.0,Eur/MWh
16,2022-01-01 15:00:00,2022-01-01 16:00:00,126.6,Eur/MWh
17,2022-01-01 16:00:00,2022-01-01 17:00:00,149.97,Eur/MWh
18,2022-01-01 17:00:00,2022-01-01 18:00:00,146.33,Eur/MWh
19,2022-01-01 18:00:00,2022-01-01 19:00:00,140.28,Eur/MWh
20,2022-01-01 19:00:00,2022-01-01 20:00:00,121.88,Eur/MWh
21,2022-01-01 20:00:00,2022-01-01 21:00:00,102.61,Eur/MWh
22,2022-01-01 21:00:00,2022-01-01 22:00:00,97.46,Eur/MWh
23,2022-01-01 22:00:00,2022-01-01 23:00:00,85.16,Eur/MWh
24,2022-01-01 23:00:00,2022-01-02 00:00:00,57.08,Eur/MWh
25,2022-01-02 00:00:00,2022-01-02 01:00:00,52.59,Eur/MWh
26,2022-01-02 01:00:00,2022-01-02 02:00:00,48.97,Eur/MWh
27,2022-01-02 02:00:00,2022-01-02 03:00:00,34.94,Eur/MWh
28,2022-01-02 03:00:00,2022-01-02 04:00:00,29.56,Eur/MWh
29,2022-01-02 04:00:00,2022-01-02 05:00:00,33.97,Eur/MWh
30,2022-01-02 05:00:00,2022-01-02 06:00:00,34.52,Eur/MWh
31,2022-01-02 06:00:00,2022-01-02 07:00:00,41.8,Eur/MWh
32,2022-01-02 07:00:00,2022-01-02 08:00:00,48.95,Eur/MWh
33,2022-01-02 08:00:00,2022-01-02 09:00:00,60.01,Eur/MWh
34,2022-01-02 09:00:00,2022-01-02 10:00:00,70.09,Eur/MWh
35,2022-01-02 10:00:00,2022-01-02 11:00:00,66.26,Eur/MWh
36,2022-01-02 11:00:00,2022-01-02 12:00:00,64.54,Eur/MWh
37,2022-01-02 12:00:00,2022-01-02 13:00:00,46.96,Eur/MWh
38,2022-01-02 13:00:00,2022-01-02 14:00:00,40.01,Eur/MWh
39,2022-01-02 14:00:00,2022-01-02 15:00:00,29.11,Eur/MWh
40,2022-01-02 15:00:00,2022-01-02 16:00:00,32.76,Eur/MWh
41,2022-01-02 16:00:00,2022-01-02 17:00:00,42.97,Eur/MWh
42,2022-01-02 17:00:00,2022-01-02 18:00:00,60.96,Eur/MWh
43,2022-01-02 18:00:00,2022-01-02 19:00:00,60.94,Eur/MWh
44,2022-01-02 19:00:00,2022-01-02 20:00:00,54.12,Eur/MWh
45,2022-01-02 20:00:00,2022-01-02 21:00:00,46.16,Eur/MWh
46,2022-01-02 21:00:00,2022-01-02 22:00:00,46.29,Eur/MWh
47,2022-01-02 22:00:00,2022-01-02 23:00:00,32.93,Eur/MWh
48,2022-01-02 23:00:00,2022-01-03 00:00:00,0.31,Eur/MWh
49,2022-01-03 00:00:00,2022-01-03 01:00:00,-0.01,Eur/MWh
50,2022-01-03 01:00:00,2022-01-03 02:00:00,-0.07,Eur/MWh
51,2022-01-03 02:00:00,2022-01-03 03:00:00,-1.05,Eur/MWh
52,2022-01-03 03:00:00,2022-01-03 04:00:00,-1.0,Eur/MWh
53,2022-01-03 04:00:00,2022-01-03 05:00:00,0.32,Eur/MWh
54,2022-01-03 05:00:00,2022-01-03 06:00:00,37.55,Eur/MWh
55,2022-01-03 06:00:00,2022-01-03 07:00:00,88.76,Eur/MWh
56,2022-01-03 07:00:00,2022-01-03 08:00:00,122.93,Eur/MWh
57,2022-01-03 08:00:00,2022-01-03 09:00:00,110.17,Eur/MWh
58,2022-01-03 09:00:00,2022-01-03 10:00:00,93.38,Eur/MWh
59,2022-01-03 10:00:00,2022-01-03 11:00:00,90.73,Eur/MWh
60,2022-01-03 11:00:00,2022-01-03 12:00:00,82.37,Eur/MWh
61,2022-01-03 12:00:00,2022-01-03 13:00:00,80.9,Eur/MWh
62,2022-01-03 13:00:00,2022-01-03 14:00:00,80.99,Eur/MWh
63,2022-01-03 14:00:00,2022-01-03 15:00:00,98.05,Eur/MWh
64,2022-01-03 15:00:00,2022-01-03 16:00:00,123.51,Eur/MWh
65,2022-01-03 16:00:00,2022-01-03 17:00:00,148.49,Eur/MWh
66,2022-01-03 17:00:00,2022-01-03 18:00:00,138.0,Eur/MWh
67,2022-01-03 18:00:00,2022-01-03 19:00:00,117.64,Eur/MWh
68,2022-01-03 19:00:00,2022-01-03 20:00:00,117.71,Eur/MWh
69,2022-01-03 20:00:00,2022-01-03 21:00:00,95.95,Eur/MWh
70,2022-01-03 21:00:00,2022-01-03 22:00:00,105.68,Eur/MWh
71,2022-01-03 22:00:00,2022-01-03 23:00:00,95.26,Eur/MWh
72,2022-01-03 23:00:00,2022-01-04 00:00:00,103.7,Eur/MWh
73,2022-01-04 00:00:00,2022-01-04 01:00:00,108.27,Eur/MWh
74,2022-01-04 01:00:00,2022-01-04 02:00:00,105.92,Eur/MWh
75,2022-01-04 02:00:00,2022-01-04 03:00:00,103.41,Eur/MWh
76,2022-01-04 03:00:00,2022-01-04 04:00:00,102.71,Eur/MWh
77,2022-01-04 04:00:00,2022-01-04 05:00:00,114.23,Eur/MWh
78,2022-01-04 05:00:00,2022-01-04 06:00:00,156.91,Eur/MWh
79,2022-01-04 06:00:00,2022-01-04 07:00:00,182.64,Eur/MWh
80,2022-01-04 07:00:00,2022-01-04 08:00:00,178.91,Eur/MWh
81,2022-01-04 08:00:00,2022-01-04 09:00:00,190.0,Eur/MWh
82,2022-01-04 09:00:00,2022-01-04 10:00:00,189.88,Eur/MWh
83,2022-01-04 10:00:00,2022-01-04 11:00:00,182.42,Eur/MWh
84,2022-01-04 11:00:00,2022-01-04 12:00:00,182.46,Eur/MWh
85,2022-01-04 12:00:00,2022-01-04 13:00:00,179.59,Eur/MWh
86,2022-01-04 13:00:00,2022-01-04 14:00:00,179.0,Eur/MWh
87,2022-01-04 14:00:00,2022-01-04 15:00:00,180.93,Eur/MWh
88,2022-01-04 15:00:00,2022-01-04 16:00:00,166.69,Eur/MWh
89,2022-01-04 16:00:00,2022-01-04 17:00:00,189.88,Eur/MWh
90,2022-01-04 17:00:00,2022-01-04 18:00:00,184.94,Eur/MWh
91,2022-01-04 18:00:00,2022-01-04 19:00:00,178.99,Eur/MWh
92,2022-01-04 19:00:00,2022-01-04 20:00:00,156.12,Eur/MWh
