,start_timestamp,end_timestamp,marketprice,unit
79,2021-01-04 06:00:00,2021-01-04 07:00:00,52.03,Eur/MWh
80,2021-01-04 07:00:00,2021-01-04 08:00:00,55.76,Eur/MWh
81,2021-01-04 08:00:00,2021-01-04 09:00:00,57.06,Eur/MWh
82,2021-01-04 09:00:00,2021-01-04 10:00:00,57.18,Eur/MWh
83,2021-01-04 10:00:00,2021-01-04 11:00:00,60.0,Eur/MWh
84,2021-01-04 11:00:00,2021-01-04 12:00:00,61.27,Eur/MWh
85,2021-01-04 12:00:00,2021-01-04 13:00:00,60.28,Eur/MWh
86,2021-01-04 13:00:00,2021-01-04 14:00:00,60.07,Eur/MWh
87,2021-01-04 14:00:00,2021-01-04 15:00:00,59.46,Eur/MWh
88,2021-01-04 15:00:00,2021-01-04 16:00:00,61.99,Eur/MWh
89,2021-01-04 16:00:00,2021-01-04 17:00:00,66.82,Eur/MWh
90,2021-01-04 17:00:00,2021-01-04 18:00:00,61.97,Eur/MWh
91,2021-01-04 18:00:00,2021-01-04 19:00:00,55.06,Eur/MWh
92,2021-01-04 19:00:00,2021-01-04 20:00:00,47.34,Eur/MWh
93,2021-01-04 20:00:00,2021-01-04 21:00:00,45.64,Eur/MWh
94,2021-01-04 21:00:00,2021-01-04 22:00:00,48.93,Eur/MWh
95,2021-01-04 22:00:00,2021-01-04 23:00:00,44.64,Eur/MWh
96,2021-01-04 23:00:00,2021-01-05 00:00:00,37.54,Eur/MWh
97,2021-01-05 00:00:00,2021-01-05 01:00:00,40.07,Eur/MWh
98,2021-01-05 01:00:00,2021-01-05 02:00:00,39.81,Eur/MWh
99,2021-01-05 02:00:00,2021-01-05 03:00:00,39.65,Eur/MWh
100,2021-01-05 03:00:00,2021-01-05 04:00:00,40.2,Eur/MWh
101,2021-01-05 04:00:00,2021-01-05 05:00:00,44.26,Eur/MWh
102,2021-01-05 05:00:00,2021-01-05 06:00:00,47.06,Eur/MWh
103,2021-01-05 06:00:00,2021-01-05 07:00:00,54.96,Eur/MWh
104,2021-01-05 07:00:00,2021-01-05 08:00:00,63.67,Eur/MWh
105,2021-01-05 08:00:00,2021-01-05 09:00:00,64.73,Eur/MWh
106,2021-01-05 09:00:00,2021-01-05 10:00:00,66.07,Eur/MWh
107,2021-01-05 10:00:00,2021-01-05 11:00:00,65.97,Eur/MWh
108,2021-01-05 11:00:00,2021-01-05 12:00:00,65.46,Eur/MWh
109,2021-01-05 12:00:00,2021-01-05 13:00:00,63.82,Eur/MWh
110,2021-01-05 13:00:00,2021-01-05 14:00:00,63.87,Eur/MWh
111,2021-01-05 14:00:00,2021-01-05 15:00:00,64.05,Eur/MWh
112,2021-01-05 15:00:00,2021-01-05 16:00:00,64.26,Eur/MWh
113,2021-01-05 16:00:00,2021-01-05 17:00:00,67.14,Eur/MWh
114,2021-01-05 17:00:00,2021-01-05 18:00:00,61.61,Eur/MWh
115,2021-01-05 18:00:00,2021-01-05 19:00:00,59.16,Eur/MWh
116,2021-01-05 19:00:00,2021-01-05 20:00:00,59.26,Eur/MWh
117,2021-01-05 20:00:00,2021-01-05 21:00:00,53.62,Eur/MWh
118,2021-01-05 21:00:00,2021-01-05 22:00:00,53.86,Eur/MWh
119,2021-01-05 22:00:00,2021-01-05 23:00:00,47.99,Eur/MWh
120,2021-01-05 23:00:00,2021-01-06 00:00:00,44.41,Eur/MWh
121,2021-01-06 00:00:00,2021-01-06 01:00:00,42.94,Eur/MWh
122,2021-01-06 01:00:00,2021-01-06 02:00:00,42.88,Eur/MWh
123,2021-01-06 02:00:00,2021-01-06 03:00:00,42.15,Eur/MWh
124,2021-01-06 03:00:00,2021-01-06 04:00:00,43.23,Eur/MWh
125,2021-01-06 04:00:00,2021-01-06 05:00:00,44.56,Eur/MWh
126,2021-01-06 05:00:00,2021-01-06 06:00:00,47.4,Eur/MWh
127,2021-01-06 06:00:00,2021-01-06 07:00:00,44.05,Eur/MWh
128,2021-01-06 07:00:00,2021-01-06 08:00:00,53.41,Eur/MWh
129,2021-01-06 08:00:00,2021-01-06 09:00:00,54.8,Eur/MWh
130,2021-01-06 09:00:00,2021-01-06 10:00:00,53.94,Eur/MWh
131,2021-01-06 10:00:00,2021-01-06 11:00:00,58.3,Eur/MWh
132,2021-01-06 11:00:00,2021-01-06 12:00:00,61.43,Eur/MWh
133,2021-01-06 12:00:00,2021-01-06 13:00:00,61.92,Eur/MWh
134,2021-01-06 13:00:00,2021-01-06 14:00:00,57.0,Eur/MWh
135,2021-01-06 14:00:00,2021-01-06 15:00:00,57.53,Eur/MWh
136,2021-01-06 15:00:00,2021-01-06 16:00:00,61.68,Eur/MWh
137,2021-01-06 16:00:00,2021-01-06 17:00:00,61.84,Eur/MWh
138,2021-01-06 17:00:00,2021-01-06 18:00:00,57.46,Eur/MWh
139,2021-01-06 18:00:00,2021-01-06 19:00:00,58.06,Eur/MWh
140,2021-01-06 19:00:00,2021-01-06 20:00:00,59.97,Eur/MWh
141,2021-01-06 20:00:00,2021-01-06 21:00:00,52.95,Eur/MWh
142,2021-01-06 21:00:00,2021-01-06 22:00:00,52.95,Eur/MWh
143,2021-01-06 22:00:00,2021-01-06 23:00:00,49.53,Eur/MWh
144,2021-01-06 23:00:00,2021-01-07 00:00:00,51.03,Eur/MWh
145,2021-01-07 00:00:00,2021-01-07 01:00:00,50.18,Eur/MWh
146,2021-01-07 01:00:00,2021-01-07 02:00:00,48.97,Eur/MWh
147,2021-01-07 02:00:00,2021-01-07 03:00:00,46.72,Eur/MWh
148,2021-01-07 03:00:00,2021-01-07 04:00:00,46.87,Eur/MWh
149,2021-01-07 04:00:00,2021-01-07 05:00:00,50.08,Eur/MWh
150,2021-01-07 05:00:00,2021-01-07 06:00:00,57.34,Eur/MWh
151,2021-01-07 06:00:00,2021-01-07 07:00:00,67.8,Eur/MWh
152,2021-01-07 07:00:00,2021-01-07 08:00:00,86.51,Eur/MWh
153,2021-01-07 08:00:00,2021-01-07 09:00:00,86.54,Eur/MWh
154,2021-01-07 09:00:00,2021-01-07 10:00:00,85.08,Eur/MWh
155,2021-01-07 10:00:00,2021-01-07 11:00:00,88.74,Eur/MWh
156,2021-01-07 11:00:00,2021-01-07 12:00:00,88.76,Eur/MWh
157,2021-01-07 12:00:00,2021-01-07 13:00:00,84.31,Eur/MWh
158,2021-01-07 13:00:00,2021-01-07 14:00:00,80.4,Eur/MWh
159,2021-01-07 14:00:00,2021-01-07 15:00:00,83.57,Eur/MWh
160,2021-01-07 15:00:00,2021-01-07 16:00:00,89.68,Eur/MWh
161,2021-01-07 16:00:00,2021-01-07 17:00:00,100.0,Eur/MWh
162,2021-01-07 17:00:00,2021-01-07 18:00:00,90.43,Eur/MWh
163,2021-01-07 18:00:00,2021-01-07 19:00:00,80.28,Eur/MWh
164,2021-01-07 19:00:00,2021-01-07 20:00:00,66.8,Eur/MWh
165,2021-01-07 20:00:00,2021-01-07 21:00:00,60.22,Eur/MWh
166,2021-01-07 21:00:00,2021-01-07 22:00:00,59.69,Eur/MWh
167,2021-01-07 22:00:00,2021-01-07 23:00:00,52.25,Eur/MWh
168,2021-01-07 23:00:00,2021-01-08 00:00:00,50.53,Eur/MWh
169,2021-01-08 00:00:00,2021-01-08 01:00:00,48.43,Eur/MWh
170,2021-01-08 01:00:00,2021-01-08 02:00:00,47.24,Eur/MWh
171,2021-01-08 02:00:00,2021-01-08 03:00:00,45.61,Eur/MWh
172,2021-01-08 03:00:00,2021-01-08 04:00:00,46.81,Eur/MWh
173,2021-01-08 04:00:00,2021-01-08 05:00:00,51.57,Eur/MWh
174,2021-01-08 05:00:00,2021-01-08 06:00:00,60.67,Eur/MWh
175,2021-01-08 06:00:00,2021-01-08 07:00:00,79.56,Eur/MWh
176,2021-01-08 07:00:00,2021-01-08 08:00:00,103.54,Eur/MWh
177,2021-01-08 08:00:00,2021-01-08 09:00:00,110.45,Eur/MWh
178,2021-01-08 09:00:00,2021-01-08 10:00:00,109.96,Eur/MWh
179,2021-01-08 10:00:00,2021-01-08 11:00:00,106.82,Eur/MWh
180,2021-01-08 11:00:00,2021-01-08 12:00:00,102.37,Eur/MWh
181,2021-01-08 12:00:00,2021-01-08 13:00:00,97.61,Eur/MWh
182,2021-01-08 13:00:00,2021-01-08 14:00:00,95.0,Eur/MWh
183,2021-01-08 14:00:00,2021-01-08 15:00:00,95.42,Eur/MWh
184,2021-01-08 15:00:00,2021-01-08 16:00:00,95.0,Eur/MWh
185,2021-01-08 16:00:00,2021-01-08 17:00:00,110.0,Eur/MWh
186,2021-01-08 17:00:00,2021-01-08 18:00:00,102.41,Eur/MWh
187,2021-01-08 18:00:00,2021-01-08 19:00:00,88.05,Eur/MWh
188,2021-01-08 19:00:00,2021-01-08 20:00:00,64.24,Eur/MWh
189,2021-01-08 20:00:00,2021-01-08 21:00:00,59.43,Eur/MWh
190,2021-01-08 21:00:00,2021-01-08 22:00:00,57.6,Eur/MWh
191,2021-01-08 22:00:00,2021-01-08 23:00:00,51.75,Eur/MWh
192,2021-01-08 23:00:00,2021-01-09 00:00:00,54.73,Eur/MWh
193,2021-01-09 00:00:00,2021-01-09 01:00:00,52.39,Eur/MWh
194,2021-01-09 01:00:00,2021-01-09 02:00:00,51.67,Eur/MWh
195,2021-01-09 02:00:00,2021-01-09 03:00:00,50.88,Eur/MWh
196,2021-01-09 03:00:00,2021-01-09 04:00:00,50.02,Eur/MWh
197,2021-01-09 04:00:00,2021-01-09 05:00:00,49.1,Eur/MWh
198,2021-01-09 05:00:00,2021-01-09 06:00:00,49.57,Eur/MWh
199,2021-01-09 06:00:00,2021-01-09 07:00:00,53.82,Eur/MWh
200,2021-01-09 07:00:00,2021-01-09 08:00:00,59.8,Eur/MWh
